How many movies did Stanley Kubrick direct?,SELECT COUNT(DISTINCT ?uri) WHERE {?uri <http://dbpedia.org/ontology/director> #ent  . }
Which city's foundeer is John Forbes?,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/founder> <http://dbpedia.org/resource/John_Forbes_(British_Army_officer)>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City>}
What is the river whose mouth is in deadsea?,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/riverMouth> #ent  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/River>}
What is the allegiance of John Kotelawala ?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/property/allegiance> ?uri }
How many races have the horses bred by Jacques Van't Hart participated in?,SELECT COUNT(DISTINCT ?uri) WHERE { ?x <http://dbpedia.org/ontology/breeder> #ent . ?x <http://dbpedia.org/property/race> ?uri  . }
"What is the incumbent of the Al Gore presidential campaign, 2000 and also the president of the Ann Lewis ?",SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/ontology/incumbent> ?uri. #ent <http://dbpedia.org/ontology/president> ?uri}
What is the region of Tom Perriello ?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/ontology/region> ?uri }
What layout can be found in cars similar to the Subaru Outback?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/related> #ent . ?x <http://dbpedia.org/ontology/layout> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Automobile>}
Starwood operates in which places?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/operator> <http://dbpedia.org/resource/Starwood_Hotels_and_Resorts_Worldwide> . ?x <http://dbpedia.org/property/address> ?uri  . }
Name the mascot of Austin College ?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/property/mascot> ?uri }
What was the university of the rugby player who coached the Stanford rugby teams during 1906-1917?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/190617_Stanford_rugby_teams> <http://dbpedia.org/property/headcoach> ?x . ?x <http://dbpedia.org/ontology/university> ?uri  . }
"How many people live in Wilton, Connecticut?",SELECT COUNT(DISTINCT ?uri) WHERE {?uri <http://dbpedia.org/property/residence> #ent  . }
What awards did the film director of The Haunted House win ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Haunted_House_(1929_film)> <http://dbpedia.org/ontology/director> ?x . ?x <http://dbpedia.org/ontology/award> ?uri  . }
Name the origin of Henry Cluney ?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/property/origin> ?uri }
List the things for which people of New Orleans are famous for?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/placeOfBirth> #ent . ?x <http://dbpedia.org/property/knownFor> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>}
What sports are played in schools in the capital region?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/region> #ent . ?x <http://dbpedia.org/ontology/sport> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/School>}
"What company brought Riddim Ribbon to the market, and developed the batch monitor?",SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/property/developer> ?uri. <http://dbpedia.org/resource/Riddim_Ribbon_feat._The_Black_Eyed_Peas> <http://dbpedia.org/property/distributor> ?uri}
In which part of the world can i find Xynisteri and Mavro?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/ontology/origin> ?uri. #ent <http://dbpedia.org/ontology/origin> ?uri . }
which awards have been given to people who fought in the Battle of France?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/battle> #ent . ?x <http://dbpedia.org/ontology/award> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>}
Name the resting place of Charles Edward Magoon ?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/property/restingplace> ?uri }
Who built the stadium which was rented for the 2013 Copa Centroamericana ?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/tenant> #ent . ?x <http://dbpedia.org/ontology/builder> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Stadium>}
Who was the silver medalist of Gymnastics at the 2008 Summer Olympics  Women's artistic individual all-around ?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/ontology/silverMedalist> ?uri }
what are some common surnames of female people?,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/gender> #ent }
Which company owns the manufacturer of the Edsel Ranger?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/products> #ent . ?x <http://dbpedia.org/property/parent> ?uri  . }
List the total number of board members who share board with Creative commons ?,SELECT COUNT(DISTINCT ?uri) WHERE { ?x <http://dbpedia.org/ontology/board> #ent . ?x <http://dbpedia.org/ontology/board> ?uri }
"Who is the leader of United States House of Representatives elections, 1788 and 1789 ?",SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/property/leader> ?uri }
The fugitive Kind and the Notebook of Trigorin is written by what author?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/property/writer> ?uri. #ent <http://dbpedia.org/ontology/author> ?uri . }
Name the mountain whose range is Sierra Nevada (U.S.) and parent mountain peak is Nevado de Toluca?,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/mountainRange> #ent . ?uri <http://dbpedia.org/ontology/parentMountainPeak> #ent  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mountain>}
Where did the  designer of Monument to Salavat Yulaev die?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/ontology/designer> ?x . ?x <http://dbpedia.org/property/placeOfDeath> ?uri  . }
How many mammals are in the Chordate phylum?,SELECT COUNT(DISTINCT ?uri) WHERE {?uri <http://dbpedia.org/property/phylum> #ent  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mammal>}
List the battles fought by Roh Tae-woo ?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/property/battles> ?uri }
Which genre of books are published by Random House?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/publisher> #ent . ?x <http://dbpedia.org/property/subject> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book>}
"Which famous political figure appointed william cushing, and also founded Pittsburgh>",SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/ontology/founder> ?uri. #ent <http://dbpedia.org/ontology/appointer> ?uri}
Which newspapers are owned by companies which are under Rolv Erik Ryssdal?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/keyPerson> #ent . ?uri <http://dbpedia.org/property/owners> ?x  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Newspaper>}
Which series has an episode called The lost special and also a character named Sherlock Holmes ?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/property/series> ?uri. <http://dbpedia.org/resource/Sherlock_Holmes_(play)> <http://dbpedia.org/property/characters> ?uri}
What are some Louisiana based models known for?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/placeOfBirth> #ent . ?x <http://dbpedia.org/property/knownFor> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Model>}
List the common official language of the ladonia and Empire of Atlantium ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ladonia_(micronation)> <http://dbpedia.org/ontology/officialLanguage> ?uri. #ent <http://dbpedia.org/ontology/officialLanguage> ?uri . }
What are the prizes won by the animator of The Skeleton Dance ?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/ontology/animator> ?x . ?x <http://dbpedia.org/ontology/award> ?uri  . }
Which office holder's constituency is Haight-Ashbury and has military unit as USS Kittiwake ?,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/constituency> #ent . ?uri <http://dbpedia.org/ontology/militaryUnit> <http://dbpedia.org/resource/USS_Kittiwake_(ASR-13)>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder>}
What is the region of the ethnic group which speaks the language of Arkansas?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/ontology/language> ?x . ?x <http://dbpedia.org/property/region> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/EthnicGroup>}
What is the religion of the member of parliament who is a relative of Sarathchandra Rajakaruna?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/relation> #ent . ?x <http://dbpedia.org/ontology/religion> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MemberOfParliament>}
What organisation regulates and controls the New Sanno Hotel?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/ontology/tenant> ?uri }
Who is the common manager of Aston Villa 2000-02 season and aldo the manager of Middlesbrough F.C. season 2009-10, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/200001_Aston_Villa_F.C._season> <http://dbpedia.org/property/name> ?uri. <http://dbpedia.org/resource/200910_Middlesbrough_F.C._season> <http://dbpedia.org/ontology/manager> ?uri} 
Was Ganymede discovered by Galileo Galilei?,ASK WHERE { <http://dbpedia.org/resource/Ganymede_(moon)> <http://dbpedia.org/property/discoverer> #ent }
Name the F1 racer with relative as Ralf Schumacher and has child named Mick Schumacher?,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/relatives> #ent . ?uri <http://dbpedia.org/ontology/child> #ent  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/FormulaOneRacer>}
Does the Toyota Verossa have the front engine design platform?,ASK WHERE { #ent <http://dbpedia.org/ontology/automobilePlatform> #ent  . }
What are some other products of the banks which makes Postbanken?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/product> #ent . ?x <http://dbpedia.org/property/products> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Bank>}
What is the occupation of the Irving Chernev and Karen Grigorian?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/ontology/occupation> ?uri. #ent <http://dbpedia.org/ontology/occupation> ?uri . }
Who produces the trains operated by the MTR?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/operator> #ent . ?x <http://dbpedia.org/ontology/manufacturer> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Train>}
Name the TV show with distributor as Broadcast syndication and has theme music composed by Primus ?,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/distributor> #ent . ?uri <http://dbpedia.org/property/themeMusicComposer> <http://dbpedia.org/resource/Primus_(band)>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>}
In which countries can i find some feminist writers?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/movement> #ent . ?x <http://dbpedia.org/ontology/nationality> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Writer>}
"In which teams did anyone who played as a defencemen, play previously?",SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/position> #ent . ?x <http://dbpedia.org/ontology/formerTeam> ?uri  . }
What are the other band member of the Bands whose current members is Hynief?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/currentMembers> #ent . ?x <http://dbpedia.org/ontology/bandMember> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Band>}
Which line of the Vadodara Junction railway station is the route end of Mumbai Vadodara Expressway ?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/ontology/routeEnd> ?uri. #ent <http://dbpedia.org/property/line> ?uri}
Who authored the works published in the Jump Square Magazine?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/magazine> #ent . ?x <http://dbpedia.org/property/author> ?uri  . }
How many things are aired on BBC HD?,SELECT COUNT(DISTINCT ?uri) WHERE {?uri <http://dbpedia.org/ontology/network> #ent  . }
Which work of Craig van Tilbury is close to the area of The Chess Monthyl ?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/property/discipline> ?uri. #ent <http://dbpedia.org/ontology/occupation> ?uri}
Where does the successor of Thongsuk Samdaengpan reside?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/property/successor> ?x . ?x <http://dbpedia.org/ontology/location> ?uri  . }
What is the location city of the Denver Broncos which is also  place of birth of the William C. Cramer ?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/ontology/locationCity> ?uri. #ent <http://dbpedia.org/property/placeOfBirth> ?uri}
Was Mark Twain a character of Mark Twain Tonight?,ASK WHERE { #ent <http://dbpedia.org/property/characters> #ent }
List bacteria whose order (taxonomy) is Bacillales and domain is Bacteria?,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/order> #ent . ?uri <http://dbpedia.org/property/domain> #ent  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Bacteria>}
What is the place of the Geography Club (play) which is also the  official residence of the Scott Berkun?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/property/place> ?uri. #ent <http://dbpedia.org/property/residence> ?uri}
What are some characters of series produced by Ricky Grevais?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/executiveProducer> #ent . ?uri <http://dbpedia.org/ontology/series> ?x  . }
"Is the song Killing is Out, School is in belong in the The Next Step?",ASK WHERE { #ent <http://dbpedia.org/property/album> <http://dbpedia.org/resource/The_Next_Step_(James_Brown_album)> }
Which band's  former member are Kevin Jonas and Joe Jonas?,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/formerBandMember> #ent . ?uri <http://dbpedia.org/property/pastMembers> #ent  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Band>}
Count all those whose youth club was managed by Luis Enrique.,SELECT COUNT(DISTINCT ?uri) WHERE { ?x <http://dbpedia.org/property/manager> <http://dbpedia.org/resource/Luis_Enrique_(footballer)> . ?uri <http://dbpedia.org/property/youthclubs> ?x  . }
Is camel  of the chordate phylum?,ASK WHERE { #ent <http://dbpedia.org/property/phylum> #ent }
What is the purpose of the Maharashtra Chess Association which is genere of PyChess?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/property/purpose> ?uri. #ent <http://dbpedia.org/ontology/genre> ?uri}
Whose former teams are Indianapolis Colts and Carolina Panthers?,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/formerTeam> #ent . ?uri <http://dbpedia.org/ontology/formerTeam> #ent . }
In which language is All I need is Your Sweet lovin written ?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/property/language> ?uri }
Which colonel consort is Dolley Madison?,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/rank> <http://dbpedia.org/resource/Colonel_(United_States)> . ?uri <http://dbpedia.org/property/spouse> #ent  . }
Which title of Zaman Shah Durrani is also the nationality of Salahuddin ?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/property/title> ?uri. <http://dbpedia.org/resource/Salahuddin_Rabbani> <http://dbpedia.org/ontology/nationality> ?uri}
Does the merlin express have a hub at the cibano international airport?,ASK WHERE { #ent <http://dbpedia.org/ontology/hubAirport> #ent }
Was Duanne Allman known to play the Les Paul?,ASK WHERE { #ent <http://dbpedia.org/property/notableInstruments> <http://dbpedia.org/resource/Gibson_Les_Paul> }
